الٓمٓ                 ['l', 'm']
مِمَّآ                 ['m', 'i', 'm̰', 'a:']
ءَاتَيۡتُمُوهُنَّ           ['ʔ', 'a:', 't', 'a', 'j', 't', 'u', 'm', 'u:', 'h', 'u', 'n̰', 'a']
شَيۡــًٔا               ['ʃ', 'a', 'j', 'ʔ', 'an']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَن                  ['ʔ', 'a']
يَخَافَآ               ['j̰', 'a', 'x', 'a:', 'f', 'a:']
أَلَّا                 ['ʔ', 'a', 'l', 'l', 'a:']
يُقِيمَا               ['j', 'u', 'q', 'i:', 'm', 'a:']
حُدُودَ                ['ħ', 'u', 'd', 'u:', 'd', 'a']
ٱللَّهِ‌ۖ               ['l', 'l', 'l', 'a', 'h', 'i']
فَإِنۡ                 ['f', 'a', 'ʔ', 'i', 'n']
خِفۡتُمۡ                ['x', 'i', 'f', 't', 'u', 'm']
أَلَّا                 ['ʔ', 'a', 'l', 'l', 'a:']
يُقِيمَا               ['j', 'u', 'q', 'i:', 'm', 'a:']
حُدُودَ                ['ħ', 'u', 'd', 'u:', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَلَا                 ['f', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡهِمَا              ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'a:']
فِيمَا                ['f', 'i:', 'm', 'a:']
ٱفۡتَدَتۡ               ['f', 't', 'a', 'd', 'a', 't']
بِهِۦ‌ۗ                ['b', 'i', 'h', 'i:']
تِلۡكَ                 ['t', 'i', 'l', 'k', 'a']
حُدُودُ                ['ħ', 'u', 'd', 'u:', 'd', 'u']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَلَا                 ['f', 'a', 'l', 'a:']
تَعۡتَدُوهَا‌ۚ            ['t', 'a', 'ʕ', 't', 'a', 'd', 'u:', 'h', 'a:']
وَمَن                 ['w', 'a', 'm', 'a']
يَتَعَدَّ                ['j̰', 'a', 't', 'a', 'ʕ', 'a', 'd', 'd', 'a']
حُدُودَ                ['ħ', 'u', 'd', 'u:', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَأُوۡلَـٰٓئِكَ             ['f', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلظَّـٰلِمُونَ            ['ðˤ', 'ðˤ', 'a:', 'l', 'i', 'm', 'u:', 'n']

230
فَإِن                 ['f', 'a', 'ʔ', 'i', 'Ikh2']
طَلَّقَهَا               ['tˤ', 'a', 'l', 'l', 'a', 'q', 'a', 'h', 'a:']
فَلَا                 ['f', 'a', 'l', 'a:']
تَحِلُّ                 ['t', 'a', 'ħ', 'i', 'l', 'l', 'u']
لَهُۥ                 ['l', 'a', 'h', 'u:']
مِنۢ                  ['m', 'i', 'm̰']
بَعۡدُ                 ['b', 'a', 'ʕ', 'd', 'u']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
تَنكِحَ                ['t', 'a', 'Ikh1', 'k', 'i', 'ħ', 'a']
زَوۡجًا                ['z', 'a', 'w', 'ʒ', 'an']
غَيۡرَهُۥ‌ۗ              ['ɣ', 'a', 'j', 'r', 'a', 'h', 'u:']
فَإِن                 ['f', 'a', 'ʔ', 'i', 'Ikh2']
طَلَّقَهَا               ['tˤ', 'a', 'l', 'l', 'a', 'q', 'a', 'h', 'a:']
فَلَا                 ['f', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡهِمَآ              ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'a:']
أَن                  ['ʔ', 'a']
يَتَرَاجَعَآ             ['j̰', 'a', 't', 'a', 'r', 'a:', 'ʒ', 'a', 'ʕ', 'a:']
إِن                  ['ʔ', 'i', 'Ikh2']
ظَنَّآ                 ['ðˤ', 'a', 'n̰', 'a:']
أَن                  ['ʔ', 'a']
يُقِيمَا               ['j̰', 'u', 'q', 'i:', 'm', 'a:']
حُدُودَ                ['ħ', 'u', 'd', 'u:', 'd', 'a']
ٱللَّهِ‌ۗ               ['l', 'l', 'l', 'a', 'h', 'i']
وَتِلۡكَ                ['w', 'a', 't', 'i', 'l', 'k', 'a']
حُدُودُ                ['ħ', 'u', 'd', 'u:', 'd', 'u']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
يُبَيِّنُهَا              ['j', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'u', 'h', 'a:']
لِقَوۡمٍ                ['l', 'i', 'q', 'a', 'w', 'm', 'i']
يَعۡلَمُونَ              ['j̰', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

231
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
طَلَّقۡتُمُ               ['tˤ', 'a', 'l', 'l', 'a', 'q', 'Q', 't', 'u', 'm', 'u']
ٱلنِّسَآءَ              ['n̰', 'i', 's', 'a:', 'ʔ', 'a']
فَبَلَغۡنَ               ['f', 'a', 'b', 'a', 'l', 'a', 'ɣ', 'n', 'a']
أَجَلَهُنَّ               ['ʔ', 'a', 'ʒ', 'a', 'l', 'a', 'h', 'u', 'n̰', 'a']
فَأَمۡسِكُوهُنَّ            ['f', 'a', 'ʔ', 'a', 'm', 's', 'i', 'k', 'u:', 'h', 'u', 'n̰', 'a']
بِمَعۡرُوفٍ              ['b', 'i', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'in']
أَوۡ                  ['ʔ', 'a', 'w']
سَرِّحُوهُنَّ              ['s', 'a', 'r', 'r', 'i', 'ħ', 'u:', 'h', 'u', 'n̰', 'a']
بِمَعۡرُوفٍ‌ۚ             ['b', 'i', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
وَلَا                 ['w̰', 'a', 'l', 'a:']
تُمۡسِكُوهُنَّ             ['t', 'u', 'm', 's', 'i', 'k', 'u:', 'h', 'u', 'n̰', 'a']
ضِرَارًا               ['dˤ', 'i', 'r', 'a:', 'r', 'a']
لِّتَعۡتَدُواۡ‌ۚ            ['l', 'l', 'i', 't', 'a', 'ʕ', 't', 'a', 'd', 'u:']
وَمَن                 ['w', 'a', 'm', 'a']
يَفۡعَلۡ                ['j̰', 'a', 'f', 'ʕ', 'a', 'l']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
فَقَدۡ                 ['f', 'a', 'q', 'a', 'd', 'QQ']
ظَلَمَ                 ['ðˤ', 'a', 'l', 'a', 'm', 'a']
نَفۡسَهُۥ‌ۚ              ['n', 'a', 'f', 's', 'a', 'h', 'u:']
وَلَا                 ['w', 'a', 'l', 'a:']
تَتَّخِذُوٓاۡ              ['t', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'u:']
ءَايَـٰتِ               ['ʔ', 'a:', 'j', 'a:', 't', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
هُزُوًا‌ۚ               ['h', 'u', 'z', 'u', 'w', 'a']
وَٱذۡكُرُواۡ             ['w̰', 'a', 'ð', 'k', 'u', 'r', 'u:']
نِعۡمَتَ                ['n', 'i', 'ʕ', 'm', 'a', 't', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
وَمَآ                 ['w', 'a', 'm', 'a:']
أَنزَلَ                ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'a']
عَلَيۡكُم               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm̰']
مِّنَ                  ['i', 'n', 'a']
ٱلۡكِتَـٰبِ              ['l', 'k', 'i', 't', 'a:', 'b', 'i']
وَٱلۡحِكۡمَةِ             ['w', 'a', 'l', 'ħ', 'i', 'k', 'm', 'a', 't', 'i']
يَعِظُكُم               ['j', 'a', 'ʕ', 'i', 'ðˤ', 'u', 'k', 'u', 'Ikh']
بِهِۦ‌ۚ                ['b', 'i', 'h', 'i:']
وَٱتَّقُواۡ              ['w', 'a', 't', 't', 'a', 'q', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱعۡلَمُوٓاۡ             ['w', 'a', 'ʕ', 'l', 'a', 'm', 'u:']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
بِكُلِّ                 ['b', 'i', 'k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'in']
عَلِيمٌ                ['ʕ', 'a', 'l', 'i:', 'm']

232
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
طَلَّقۡتُمُ               ['tˤ', 'a', 'l', 'l', 'a', 'q', 'Q', 't', 'u', 'm', 'u']
ٱلنِّسَآءَ              ['n̰', 'i', 's', 'a:', 'ʔ', 'a']
فَبَلَغۡنَ               ['f', 'a', 'b', 'a', 'l', 'a', 'ɣ', 'n', 'a']
أَجَلَهُنَّ               ['ʔ', 'a', 'ʒ', 'a', 'l', 'a', 'h', 'u', 'n̰', 'a']
فَلَا                 ['f', 'a', 'l', 'a:']
تَعۡضُلُوهُنَّ             ['t', 'a', 'ʕ', 'dˤ', 'u', 'l', 'u:', 'h', 'u', 'n̰', 'a']
أَن                  ['ʔ', 'a']
يَنكِحۡنَ               ['j̰', 'a', 'Ikh1', 'k', 'i', 'ħ', 'n', 'a']
أَزۡوٰجَهُنَّ              ['ʔ', 'a', 'z', 'w', 'a:', 'ʒ', 'a', 'h', 'u', 'n̰', 'a']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
تَرٰضَوۡاۡ               ['t', 'a', 'r', 'a:', 'dˤ', 'a', 'w']
بَيۡنَهُم               ['b', 'a', 'j', 'n', 'a', 'h', 'u', 'Ikh']
بِٱلۡمَعۡرُوفِ‌ۗ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
يُوعَظُ                ['j', 'u:', 'ʕ', 'a', 'ðˤ', 'u']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مَن                  ['m', 'a', 'Ikh1']
كَانَ                 ['k', 'a:', 'n', 'a']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
يُؤۡمِنُ                ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
وَٱلۡيَوۡمِ              ['w', 'a', 'l', 'j', 'a', 'w', 'm', 'i']
ٱلۡأَخِرِ‌ۗ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'i']
ذٰلِكُمۡ                ['ð', 'a:', 'l', 'i', 'k', 'u', 'm']
أَزۡكَىٰ                ['ʔ', 'a', 'z', 'k', 'a:']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
وَأَطۡهَرُ‌ۗ              ['w', 'a', 'ʔ', 'a', 'tˤ', 'Q', 'h', 'a', 'r', 'u']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

233
۞وَٱلۡوٰلِدٰتُ            ['w', 'a', 'l', 'w', 'a:', 'l', 'i', 'd', 'a:', 't', 'u']
يُرۡضِعۡنَ               ['j', 'u', 'r', 'dˤ', 'i', 'ʕ', 'n', 'a']
أَوۡلَـٰدَهُنَّ             ['ʔ', 'a', 'w', 'l', 'a:', 'd', 'a', 'h', 'u', 'n̰', 'a']
حَوۡلَيۡنِ               ['ħ', 'a', 'w', 'l', 'a', 'j', 'n', 'i']
كَامِلَيۡنِ‌ۖ             ['k', 'a:', 'm', 'i', 'l', 'a', 'j', 'n', 'i']
لِمَنۡ                 ['l', 'i', 'm', 'a', 'n']
أَرَادَ                ['ʔ', 'a', 'r', 'a:', 'd', 'a']
أَن                  ['ʔ', 'a']
يُتِمَّ                 ['j̰', 'u', 't', 'i', 'm̰', 'a']
ٱلرَّضَاعَةَ‌ۚ            ['r', 'r', 'a', 'dˤ', 'a:', 'ʕ', 'a', 't', 'a']
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
ٱلۡمَوۡلُودِ             ['l', 'm', 'a', 'w', 'l', 'u:', 'd', 'i']
لَهُۥ                 ['l', 'a', 'h', 'u:']
رِزۡقُهُنَّ               ['r', 'i', 'z', 'q', 'u', 'h', 'u', 'n̰', 'a']
وَكِسۡوَتُهُنَّ             ['w', 'a', 'k', 'i', 's', 'w', 'a', 't', 'u', 'h', 'u', 'n̰', 'a']
بِٱلۡمَعۡرُوفِ‌ۚ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
لَا                  ['l', 'a:']
تُكَلَّفُ                ['t', 'u', 'k', 'a', 'l', 'l', 'a', 'f', 'u']
نَفۡسٌ                 ['n', 'a', 'f', 's', 'un']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
وُسۡعَهَا‌ۚ              ['w', 'u', 's', 'ʕ', 'a', 'h', 'a:']
لَا                  ['l', 'a:']
تُضَآرَّ                ['t', 'u', 'dˤ', 'a:', 'r', 'r', 'a']
وٰلِدَةُۢ                ['w', 'a:', 'l', 'i', 'd', 'a', 't', 'u', 'm̰']
بِوَلَدِهَا              ['b', 'i', 'w', 'a', 'l', 'a', 'd', 'i', 'h', 'a:']
وَلَا                 ['w', 'a', 'l', 'a:']
مَوۡلُودٌ               ['m', 'a', 'w', 'l', 'u:', 'd', 'u']
لَّهُۥ                 ['l', 'l', 'a', 'h', 'u:']
بِوَلَدِهِۦ‌ۚ             ['b', 'i', 'w', 'a', 'l', 'a', 'd', 'i', 'h', 'i:']
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
ٱلۡوَارِثِ              ['l', 'w', 'a:', 'r', 'i', 'θ', 'i']
مِثۡلُ                 ['m', 'i', 'θ', 'l', 'u']
ذٰلِكَ‌ۗ                ['ð', 'a:', 'l', 'i', 'k', 'a']
فَإِنۡ                 ['f', 'a', 'ʔ', 'i', 'n']
أَرَادَا               ['ʔ', 'a', 'r', 'a:', 'd', 'a:']
فِصَالاً               ['f', 'i', 'sˤ', 'a:', 'l:', 'an']
عَن                  ['ʕ', 'a', 'Ikh1']
تَرَاضٍ                ['t', 'a', 'r', 'a:', 'dˤ', 'i']
مِّنۡهُمَا               ['m̰', 'i', 'n', 'h', 'u', 'm', 'a:']
وَتَشَاوُرٍ              ['w', 'a', 't', 'a', 'ʃ', 'a:', 'w', 'u', 'r', 'i', 'Ikh1']
فَلَا                 ['f', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡهِمَا‌ۗ             ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'a:']
وَإِنۡ                 ['w', 'a', 'ʔ', 'i', 'n']
أَرَدتُّمۡ               ['ʔ', 'a', 'r', 'a', 't', 't', 'u', 'm']
أَن                  ['ʔ', 'a', 'Ikh1']
تَسۡتَرۡضِعُوٓاۡ            ['t', 'a', 's', 't', 'a', 'r', 'dˤ', 'i', 'ʕ', 'u:']
أَوۡلَـٰدَكُمۡ             ['ʔ', 'a', 'w', 'l', 'a:', 'd', 'a', 'k', 'u', 'm']
فَلَا                 ['f', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
سَلَّمۡتُم               ['s', 'a', 'l', 'l', 'a', 'm', 't', 'u', 'm̰']
مَّآ                  ['a:']
ءَاتَيۡتُم              ['ʔ', 'a:', 't', 'a', 'j', 't', 'u', 'Ikh']
بِٱلۡمَعۡرُوفِ‌ۗ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
وَٱتَّقُواۡ              ['w', 'a', 't', 't', 'a', 'q', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱعۡلَمُوٓاۡ             ['w', 'a', 'ʕ', 'l', 'a', 'm', 'u:']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
بِمَا                 ['b', 'i', 'm', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n', 'a']
بَصِيرٌ                ['b', 'a', 'sˤ', 'i:', 'r']

234
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يُتَوَفَّوۡنَ              ['j', 'u', 't', 'a', 'w', 'a', 'f', 'f', 'a', 'w', 'n', 'a']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
وَيَذَرُونَ              ['w', 'a', 'j', 'a', 'ð', 'a', 'r', 'u:', 'n', 'a']
أَزۡوٰجًا               ['ʔ', 'a', 'z', 'w', 'a:', 'ʒ', 'a']
يَتَرَبَّصۡنَ              ['j̰', 'a', 't', 'a', 'r', 'a', 'b', 'b', 'a', 'sˤ', 'n', 'a']
بِأَنفُسِهِنَّ             ['b', 'i', 'ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'h', 'i', 'n̰', 'a']
أَرۡبَعَةَ               ['ʔ', 'a', 'r', 'b', 'a', 'ʕ', 'a', 't', 'a']
أَشۡهُرٍ                ['ʔ', 'a', 'ʃ', 'h', 'u', 'r', 'i']
وَعَشۡرًا‌ۖ              ['w̰', 'a', 'ʕ', 'a', 'ʃ', 'r', 'a', 'Ikh1']
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
بَلَغۡنَ                ['b', 'a', 'l', 'a', 'ɣ', 'n', 'a']
أَجَلَهُنَّ               ['ʔ', 'a', 'ʒ', 'a', 'l', 'a', 'h', 'u', 'n̰', 'a']
فَلَا                 ['f', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
فِيمَا                ['f', 'i:', 'm', 'a:']
فَعَلۡنَ                ['f', 'a', 'ʕ', 'a', 'l', 'n', 'a']
فِىٓ                  ['f', 'i:']
أَنفُسِهِنَّ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'h', 'i', 'n̰', 'a']
بِٱلۡمَعۡرُوفِ‌ۗ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
بِمَا                 ['b', 'i', 'm', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n', 'a']
خَبِيرٌ                ['x', 'a', 'b', 'i:', 'r']

235
وَلَا                 ['w', 'a', 'l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
فِيمَا                ['f', 'i:', 'm', 'a:']
عَرَّضۡتُم               ['ʕ', 'a', 'r', 'r', 'a', 'dˤ', 't', 'u', 'Ikh']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مِنۡ                  ['m', 'i', 'n']
خِطۡبَةِ                ['x', 'i', 'tˤ', 'Q', 'b', 'a', 't', 'i']
ٱلنِّسَآءِ              ['n̰', 'i', 's', 'a:', 'ʔ', 'i']
أَوۡ                  ['ʔ', 'a', 'w']
أَكۡنَنتُمۡ              ['ʔ', 'a', 'k', 'n', 'a', 'Ikh1', 't', 'u', 'm']
فِىٓ                  ['f', 'i:']
أَنفُسِكُمۡ‌ۚ             ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'k', 'u', 'm']
عَلِمَ                 ['ʕ', 'a', 'l', 'i', 'm', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
أَنَّكُمۡ                ['ʔ', 'a', 'n̰', 'a', 'k', 'u', 'm']
سَتَذۡكُرُونَهُنَّ           ['s', 'a', 't', 'a', 'ð', 'k', 'u', 'r', 'u:', 'n', 'a', 'h', 'u', 'n̰', 'a']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i']
لَّا                  ['l', 'l', 'a:']
تُوَاعِدُوهُنَّ            ['t', 'u', 'w', 'a:', 'ʕ', 'i', 'd', 'u:', 'h', 'u', 'n̰', 'a']
سِرًّا                 ['s', 'i', 'r', 'r', 'an']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَن                  ['ʔ', 'a', 'Ikh1']
تَقُولُواۡ              ['t', 'a', 'q', 'u:', 'l', 'u:']
قَوۡلاً                ['q', 'a', 'w', 'l:', 'a']
مَّعۡرُوفًا‌ۚ             ['m̰', 'a', 'ʕ', 'r', 'u:', 'f', 'a']
وَلَا                 ['w̰', 'a', 'l', 'a:']
تَعۡزِمُواۡ              ['t', 'a', 'ʕ', 'z', 'i', 'm', 'u:']
عُقۡدَةَ                ['ʕ', 'u', 'q', 'Q', 'd', 'a', 't', 'a']
ٱلنِّكَاحِ              ['n̰', 'i', 'k', 'a:', 'ħ', 'i']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يَبۡلُغَ                ['j', 'a', 'b', 'Q', 'l', 'u', 'ɣ', 'a']
ٱلۡكِتَـٰبُ              ['l', 'k', 'i', 't', 'a:', 'b', 'u']
أَجَلَهُۥ‌ۚ              ['ʔ', 'a', 'ʒ', 'a', 'l', 'a', 'h', 'u:']
وَٱعۡلَمُوٓاۡ             ['w', 'a', 'ʕ', 'l', 'a', 'm', 'u:']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
فِىٓ                  ['f', 'i:']
أَنفُسِكُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'k', 'u', 'm']
فَٱحۡذَرُوهُ‌ۚ            ['f', 'a', 'ħ', 'ð', 'a', 'r', 'u:', 'h', 'u']
وَٱعۡلَمُوٓاۡ             ['w', 'a', 'ʕ', 'l', 'a', 'm', 'u:']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'un']
حَلِيمٌ                ['ħ', 'a', 'l', 'i:', 'm']

236
لَّا                  ['l', 'a:']
جُنَاحَ                ['ʒ', 'u', 'n', 'a:', 'ħ', 'a']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
إِن                  ['ʔ', 'i', 'Ikh2']
طَلَّقۡتُمُ               ['tˤ', 'a', 'l', 'l', 'a', 'q', 'Q', 't', 'u', 'm', 'u']
ٱلنِّسَآءَ              ['n̰', 'i', 's', 'a:', 'ʔ', 'a']
مَا                  ['m', 'a:']
لَمۡ                  ['l', 'a', 'm']
تَمَسُّوهُنَّ              ['t', 'a', 'm', 'a', 's', 's', 'u:', 'h', 'u', 'n̰', 'a']
أَوۡ                  ['ʔ', 'a', 'w']
تَفۡرِضُواۡ              ['t', 'a', 'f', 'r', 'i', 'dˤ', 'u:']
لَهُنَّ                 ['l', 'a', 'h', 'u', 'n̰', 'a']
فَرِيضَةً‌ۚ              ['f', 'a', 'r', 'i:', 'dˤ', 'a', 't', 'a']
وَمَتِّعُوهُنَّ             ['w̰', 'a', 'm', 'a', 't', 't', 'i', 'ʕ', 'u:', 'h', 'u', 'n̰', 'a']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡمُوسِعِ              ['l', 'm', 'u:', 's', 'i', 'ʕ', 'i']
قَدَرُهُۥ               ['q', 'a', 'd', 'a', 'r', 'u', 'h', 'u:']
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
ٱلۡمُقۡتِرِ              ['l', 'm', 'u', 'q', 'Q', 't', 'i', 'r', 'i']
قَدَرُهُۥ               ['q', 'a', 'd', 'a', 'r', 'u', 'h', 'u:']
مَتَـٰعَۢا               ['m', 'a', 't', 'a:', 'ʕ', 'a:', 'm̰']
بِٱلۡمَعۡرُوفِ‌ۖ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
حَقًّا                 ['ħ', 'a', 'q', 'q', 'an']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡمُحۡسِنِينَ            ['l', 'm', 'u', 'ħ', 's', 'i', 'n', 'i:', 'n']

237
وَإِن                 ['w', 'a', 'ʔ', 'i', 'Ikh2']
طَلَّقۡتُمُوهُنَّ            ['tˤ', 'a', 'l', 'l', 'a', 'q', 'Q', 't', 'u', 'm', 'u:', 'h', 'u', 'n̰', 'a']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِ                 ['q', 'a', 'b', 'Q', 'l', 'i']
أَن                  ['ʔ', 'a', 'Ikh1']
تَمَسُّوهُنَّ              ['t', 'a', 'm', 'a', 's', 's', 'u:', 'h', 'u', 'n̰', 'a']
وَقَدۡ                 ['w', 'a', 'q', 'a', 'd', 'QQ']
فَرَضۡتُمۡ               ['f', 'a', 'r', 'a', 'dˤ', 't', 'u', 'm']
لَهُنَّ                 ['l', 'a', 'h', 'u', 'n̰', 'a']
فَرِيضَةً               ['f', 'a', 'r', 'i:', 'dˤ', 'a', 't', 'a', 'Ikh1']
فَنِصۡفُ                ['f', 'a', 'n', 'i', 'sˤ', 'f', 'u']
مَا                  ['m', 'a:']
فَرَضۡتُمۡ               ['f', 'a', 'r', 'a', 'dˤ', 't', 'u', 'm']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَن                  ['ʔ', 'a']
يَعۡفُونَ               ['j̰', 'a', 'ʕ', 'f', 'u:', 'n', 'a']
أَوۡ                  ['ʔ', 'a', 'w']
يَعۡفُوَاۡ               ['j', 'a', 'ʕ', 'f', 'u', 'w', 'a']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
بِيَدِهِۦ               ['b', 'i', 'j', 'a', 'd', 'i', 'h', 'i:']
عُقۡدَةُ                ['ʕ', 'u', 'q', 'Q', 'd', 'a', 't', 'u']
ٱلنِّكَاحِ‌ۚ             ['n̰', 'i', 'k', 'a:', 'ħ', 'i']
وَأَن                 ['w', 'a', 'ʔ', 'a', 'Ikh1']
تَعۡفُوٓاۡ               ['t', 'a', 'ʕ', 'f', 'u:']
أَقۡرَبُ                ['ʔ', 'a', 'q', 'Q', 'r', 'a', 'b', 'u']
لِلتَّقۡوَىٰ‌ۚ             ['l', 'i', 'l', 't', 't', 'a', 'q', 'Q', 'w', 'a:']
وَلَا                 ['w', 'a', 'l', 'a:']
